nms_poller_engine  | 2026-03-27 01:56:05,374 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=1.9ms
nms_poller_engine  | 2026-03-27 01:56:05,377 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.49ms
nms_poller_engine  | 2026-03-27 01:56:05,381 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.01ms
nms_poller_engine  | 2026-03-27 01:56:05,384 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.14ms
nms_poller_engine  | 2026-03-27 01:56:22,898 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:56:53,896 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:56:53,922 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=16.6ms
nms_poller_engine  | 2026-03-27 01:56:53,926 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.37ms
nms_poller_engine  | 2026-03-27 01:56:53,937 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=9.11ms
nms_poller_engine  | 2026-03-27 01:56:53,941 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.32ms
nms_poller_engine  | 2026-03-27 01:56:53,953 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.37ms
nms_poller_engine  | 2026-03-27 01:56:54,955 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:56:54,960 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.08ms
nms_poller_engine  | 2026-03-27 01:56:54,964 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.68ms
nms_poller_engine  | 2026-03-27 01:56:54,969 - PollerEngine - INFO - Polled SW-IPT-MMR-P1-RACK8 IPT-03 (10.17.9.5): Status=UP, Latency=2.3ms
nms_poller_engine  | 2026-03-27 01:56:54,972 - PollerEngine - INFO - Polled Mkr.Lt8 (10.168.2.5): Status=UP, Latency=1.01ms
nms_poller_engine  | 2026-03-27 01:57:12,046 - PollerEngine - INFO - Selesai memproses iterasi ping perangkat.
nms_poller_engine  | 2026-03-27 01:57:43,036 - PollerEngine - INFO - Starting polling cycle...
nms_poller_engine  | 2026-03-27 01:57:43,067 - PollerEngine - INFO - Polled DBN_LAMongan (103.163.36.0): Status=UP, Latency=16.3ms
nms_poller_engine  | 2026-03-27 01:57:43,071 - PollerEngine - INFO - Polled FAHASA_Core.AS (103.168.254.1): Status=UP, Latency=1.59ms
nms_poller_engine  | 2026-03-27 01:57:43,083 - PollerEngine - INFO - Polled OLT.MDP-01 (103.162.16.8): Status=UP, Latency=8.91ms
nms_poller_engine  | 2026-03-27 01:57:43,088 - PollerEngine - INFO - Polled NE8K-JUJUNG.NET-AS134651 (113.192.29.254): Status=UP, Latency=1.91ms
nms_poller_engine  | 2026-03-27 01:57:43,099 - PollerEngine - INFO - Polled Dist.Mikrotik.MDP (103.162.16.8): Status=UP, Latency=9.03ms
nms_poller_engine  | 2026-03-27 01:57:44,103 - PollerEngine - INFO - Polled sw.P1.H3C (103.217.224.109): Status=DOWN, Latency=-1.0ms
nms_poller_engine  | 2026-03-27 01:57:44,109 - PollerEngine - INFO - Polled MDP_MMR.APJII (103.162.16.105): Status=UP, Latency=2.2ms
nms_poller_engine  | 2026-03-27 01:57:44,114 - PollerEngine - INFO - Polled Digta.Sw.MMR (103.172.120.42): Status=UP, Latency=1.96ms
